nbc	0.018338
independent	0.017585
heart	0.021174
hope	0.012134
what	0.005876
doe	0.016012
milosevic	0.013641
im	0.012737
these	0.011945
confront	0.024543
make	0.011272
change	0.015413
handful	0.027441
purpose	0.025992
begin	0.015413
accept	0.014357
election	0.008763
jamm	0.029874
poor	0.022940
slobodan	0.014040
man	0.011171
blackout	0.036443
also	0.005396
nationwide	0.025675
throughout	0.017857
land	0.019664
combin	0.029309
gesture	0.027047
stole	0.024543
where	0.006300
draw	0.020307
all	0.005410
mak	0.015224
victim	0.015477
eve	0.018645
electricity	0.023359
watch	0.015874
march	0.019191
time	0.005464
dont	0.010817
wait	0.015606
difficulty	0.025675
ago	0.010817
tomorrow	0.021331
wealth	0.031942
leader	0.012571
ha	0.002431
radio	0.017674
their	0.004603
question	0.010662
worry	0.019787
life	0.013738
bett	0.014357
leav	0.016298
get	0.009696
point	0.011617
white	0.012211
reserve	0.033810
general	0.011477
year	0.005261
word	0.016083
disobedience	0.028308
new	0.003767
that	0.013039
been	0.003268
force	0.008215
regime	0.018439
spread	0.019664
listen	0.024543
try	0.007908
shrink	0.033810
when	0.004873
against	0.007462
just	0.007444
yugoslavia	0.013888
worker	0.014577
too	0.011653
civil	0.019306
engineer	0.025992
oust	0.018858
say	0.003983
president	0.004615
thousand	0.012654
surviv	0.017496
hear	0.017072
struggle	0.022740
twohour	0.034994
on	0.007462
up	0.005646
tonight	0.015286
taste	0.040944
frustrat	0.026325
jim	0.019914
equipment	0.016909
have	0.002397
may	0.009140
bare	0.020726
guard	0.016990
about	0.004886
well	0.010021
roadblock	0.027047
last	0.005051
maceda	0.029874
very	0.008972
signal	0.022546
one	0.004016
rally	0.019191
now	0.006459
week	0.006872
station	0.014303
mine	0.020726
step	0.014748
protest	0.015413
case	0.012250
person	0.018967
close	0.011907
it	0.004911
give	0.014144
down	0.008194
they	0.003447
a	0.002253
sense	0.019787
serbia	0.016521
stoppage	0.033810
four	0.009856
there	0.004127
work	0.007614
can	0.008091
come	0.010693
hundred	0.015224
my	0.011205
call	0.007170
pow	0.009539
him	0.006787
economy	0.017585
coal	0.023146
pressure	0.017857
shut	0.024288
people	0.005315
month	0.009312
out	0.004183
rid	0.027047
belgrade	0.015541
keep	0.013788
journalist	0.021997
presidential	0.010421
organiz	0.020872
hostage	0.023579
serb	0.020173
three	0.008153
house	0.008972
real	0.012409
strike	0.017155
opposition	0.011546
